Sel: Roul-wheel	Xov: Blend-X prob:70	Mut: Uniform prob:4

Run     Rank    SWR     Gain    F/B     F/R     R-a     X-a     Eff.    L1      W       

1-1     23      238.14  8.17    0       0       31.424  -608.8  74.45   2.5     2.5     
1-2     29      180.15  9.22    0       0       22.51   446.94  72.37   3.8964  1.8913  
1-3     22      538.83  8.05    0       0       13.673  -604.7  70.64   2.6448  1.5605  
1-4     25      119.25  9.34    0       0       67.461  628.67  77.12   3.8631  3.0716  
1-5     18      191.22  7.97    0       0       64.628  -781.8  74.68   2.0508  3.4398  
1-6     1       2592.4  5.23    0       0       90422   59536   61.53   1.3708  1.7996  
1-7     19      662.95  7.91    0       0       14.973  -702.6  70.24   2.5506  1.5759  
1-8     49      2.6083  8.96    0       0       27.987  -30.05  76.7    3.2436  2.525   
1-9     4       622.46  7.22    0       0       176.98  -2340   71.57   1.2801  3.3577  
1-10    13      269.15  7.82    0       0       68.842  -958.8  74.06   1.9247  3.3405  
1-11    42      18.426  9.14    0       0       42.719  187.48  77.69   3.4456  2.9636  
1-12    7       1509.2  6.87    0       0       39.526  -1726   66.87   1.9876  1.6969  
1-13    21      266.75  8.1     0       0       33.774  -668.4  74.2    2.4285  2.5458  
1-14    41      15.885  9.08    0       0       63.118  209.4   78.43   3.3358  3.5557  
1-15    15      166.72  7.92    0       0       83.501  -828.6  74.71   1.8291  3.8505  
1-16    6       650.72  7.23    0       0       107.13  -1863   71.24   1.5894  2.9786  
1-17    28      96.29   8.3     0       0       49.737  -484.3  75.97   2.4464  3.2774  
1-18    46      3.9103  8.76    0       0       59.012  -79.44  77.89   2.9092  3.6551  
1-19    40      92.651  8.94    0       0       10.509  214.66  67.78   3.6966  1.3752  
1-20    31      86.992  9.29    0       0       39.932  411.85  76.42   3.7585  2.6172  
1-21    35      93.077  8.61    0       0       18.339  -287.3  74.47   2.9681  2.0252  
1-22    2       1495.4  6.41    0       0       156.5   -3417   66.75   1.6023  2.1416  
1-23    30      293.42  8.9     0       0       11.695  411.03  64.97   3.9148  1.3128  
1-24    36      36.271  9.21    0       0       50.14   293.23  77.87   3.5441  3.09    
1-25    48      5.4132  9.01    0       0       15.654  40.452  73.71   3.4363  1.8358  
1-26    26      453.33  8.11    0       0       15.377  -588.1  71.58   2.6499  1.6859  
1-27    3       891.29  6.9     0       0       213.91  -3080   69.79   1.3463  2.9505  
1-28    10      317.12  7.67    0       0       86.439  -1166   73.47   1.7101  3.4799  
1-29    27      194.23  8.19    0       0       36.056  -588.5  74.78   2.4774  2.7052  
1-30    8       885.18  7.21    0       0       52.965  -1529   70.04   1.9389  2.2518  
1-31    45      8.0695  8.79    0       0       44.634  -117.4  77.66   2.9748  3.2118  
1-32    39      19.275  9.1     0       0       66.089  238.74  78.48   3.3606  3.6003  
1-33    11      358.67  7.76    0       0       56.471  -1004   73.38   2.0262  2.9537  
1-34    44      12.54   8.86    0       0       26.367  -115.9  76.5    3.1339  2.4709  
1-35    43      10.52   9.04    0       0       60.405  160.97  78.35   3.2802  3.5323  
1-36    33      73.833  8.55    0       0       30.213  -328.9  75.94   2.8141  2.62    
1-37    47      3.463   8.98    0       0       51.423  67.098  78.18   3.2013  3.3505  
1-38    34      29.585  8.47    0       0       62.729  -294    77.03   2.5516  3.7679  
1-39    14      298.23  7.86    0       0       52.768  -884.1  73.74   2.1134  2.984   
1-40    5       594.53  7.27    0       0       125.45  -1926   71.64   1.4793  3.1883  
1-41    17      261.58  7.94    0       0       50.126  -806.6  74.13   2.1799  2.9894  
1-42    9       398.96  7.52    0       0       106.39  -1452   72.75   1.5361  3.4856  
1-43    50      2.0888  9.01    0       0       25.687  11.735  76.41   3.3216  2.4009  
1-44    37      88.569  9.16    0       0       17.725  275.12  72.61   3.7295  1.81    
1-45    32      51.831  8.45    0       0       51.622  -358.7  76.77   2.5726  3.4132  
1-46    12      822.34  7.63    0       0       21.996  -949.4  70.17   2.334   1.7595  
1-47    24      169.84  8.17    0       0       44.605  -611.8  75.21   2.3728  3.0035  
1-48    16      154.8   7.92    0       0       88.501  -821.4  74.79   1.7781  3.9702  
1-49    38      95.188  8.63    0       0       13.798  -251    73.09   3.0488  1.739   
1-50    20      161.78  9.35    0       0       66.534  728.9   76.37   3.9689  2.8932  
---------------------------------------------------------------------
Average :       332.1   8.244   0       0       1863    632.2   73.7    
Optimum :       2.089   9.35    0       0       50.13   11.74   78.48   
 
2-1     6       191.22  7.97    0       0       64.628  -781.8  74.68   2.0508  3.4398  
2-2     45      2.6083  8.96    0       0       27.987  -30.05  76.7    3.2436  2.525   
2-3     21      82.977  9.3     0       0       46.559  434.2   76.92   3.7474  2.8013  
2-4     40      10.759  8.89    0       0       19.503  -87.76  75.23   3.2294  2.1061  
2-5     44      2.1465  8.83    0       0       55.394  -40.83  78      3.0007  3.5339  
2-6     34      12.415  8.72    0       0       48.039  -158.8  77.58   2.8834  3.333   
2-7     32      19.295  9.11    0       0       59.943  227.8   78.34   3.3853  3.4489  
2-8     38      9.3191  9.08    0       0       41.946  124.54  77.71   3.3601  2.9917  
2-9     46      2.6083  8.96    0       0       27.987  -30.05  76.7    3.2436  2.525   
2-10    42      3.463   8.98    0       0       51.423  67.098  78.18   3.2013  3.3505  
2-11    47      2.0888  9.01    0       0       25.687  11.735  76.41   3.3216  2.4009  
2-12    11      128.49  9.34    0       0       69.991  665.04  77.03   3.8904  3.0716  
2-13    29      95.188  8.63    0       0       13.798  -251    73.09   3.0488  1.739   
2-14    12      169.84  8.17    0       0       44.605  -611.8  75.21   2.3728  3.0035  
2-15    39      8.0695  8.79    0       0       44.634  -117.4  77.66   2.9748  3.2118  
2-16    7       191.22  7.97    0       0       64.628  -781.8  74.68   2.0508  3.4398  
2-17    37      12.54   8.86    0       0       26.367  -115.9  76.5    3.1339  2.4709  
2-18    2       358.67  7.76    0       0       56.471  -1004   73.38   2.0262  2.9537  
2-19    13      119.25  9.34    0       0       67.461  628.67  77.12   3.8631  3.0716  
2-20    14      119.25  9.34    0       0       67.461  628.67  77.12   3.8631  3.0716  
2-21    25      65.296  8.58    0       0       30.129  -308.2  76.05   2.8409  2.6237  
2-22    33      9.1258  8.96    0       0       79.097  166.64  78.56   3.1563  4       
2-23    9       161.78  9.35    0       0       66.534  728.9   76.37   3.9689  2.8932  
2-24    48      2.0888  9.01    0       0       25.687  11.735  76.41   3.3216  2.4009  
2-25    18      159.59  8.33    0       0       30.489  -489.8  75.07   2.6252  2.5481  
2-26    28      52.927  8.66    0       0       26.484  -258.7  75.97   2.9372  2.4685  
2-27    5       261.58  7.94    0       0       50.126  -806.6  74.13   2.1799  2.9894  
2-28    43      3.463   8.98    0       0       51.423  67.098  78.18   3.2013  3.3505  
2-29    15      119.25  9.34    0       0       67.461  628.67  77.12   3.8631  3.0716  
2-30    24      139.3   9.19    0       0       19.128  361.06  72.18   3.822   1.81    
2-31    20      94.776  8.42    0       0       37.36   -416.1  76.02   2.6416  2.8795  
2-32    4       827.12  7.76    0       0       14.979  -785.3  69.32   2.4857  1.5117  
2-33    1       449.95  7.44    0       0       133.12  -1725   72.72   1.3703  3.5545  
2-34    26      47.116  9.24    0       0       44.842  318.08  77.47   3.6114  2.8948  
2-35    8       191.22  7.97    0       0       64.628  -781.8  74.68   2.0508  3.4398  
2-36    30      95.188  8.63    0       0       13.798  -251    73.09   3.0488  1.739   
2-37    27      93.077  8.61    0       0       18.339  -287.3  74.47   2.9681  2.0252  
2-38    35      10.52   9.04    0       0       60.405  160.97  78.35   3.2802  3.5323  
2-39    22      86.992  9.29    0       0       39.932  411.85  76.42   3.7585  2.6172  
2-40    10      161.78  9.35    0       0       66.534  728.9   76.37   3.9689  2.8932  
2-41    41      4.3888  8.78    0       0       53.288  -83.43  77.82   2.9522  3.4848  
2-42    36      19.105  8.84    0       0       21.021  -131.1  75.62   3.1564  2.1978  
2-43    49      2.0888  9.01    0       0       25.687  11.735  76.41   3.3216  2.4009  
2-44    31      32.235  9.2     0       0       37.848  239.01  77.2    3.5511  2.7414  
2-45    50      2.0888  9.01    0       0       25.687  11.735  76.41   3.3216  2.4009  
2-46    16      453.33  8.11    0       0       15.377  -588.1  71.58   2.6499  1.6859  
2-47    19      375.79  8.25    0       0       9.1077  -410.5  68.99   2.8742  1.3128  
2-48    3       166.72  7.92    0       0       83.501  -828.6  74.71   1.8291  3.8505  
2-49    23      62.332  8.44    0       0       47.124  -377.1  76.59   2.5937  3.2561  
2-50    17      205.43  8.19    0       0       34.956  -596.1  74.82   2.4789  2.6572  
---------------------------------------------------------------------
Average :       117.9   8.717   0       0       44.37   -130    75.75   
Optimum :       2.089   9.35    0       0       50.13   11.74   78.56   
 
3-1     6       105.09  9.32    0       0       103.83  729.63  77.93   3.8189  3.6239  
3-2     29      6.3033  9.06    0       0       40.913  95.105  77.79   3.3244  2.9799  
3-3     5       177.26  9.35    0       0       66.092  760.88  75.99   4       2.8333  
3-4     25      9.4721  9.09    0       0       36.575  116.95  77.36   3.389   2.8014  
