
Run     SWR     Gain    F/B     F/R     R-a     X-a     Eff.    R       

1-0     1.1746  -10.27  1.06    0       935.56  -32.45  10.1    900     
1-1     1.1859  -10.31  1.07    0       944.83  -32.27  10.07   910     
1-2     1.1971  -10.35  1.08    0       954.1   -32.1   10.03   920     
1-3     1.2084  -10.39  1.09    0       963.37  -31.92  10      930     
1-4     1.2198  -10.42  1.11    0       972.62  -31.74  9.97    940     
1-5     1.2311  -10.46  1.12    0       981.87  -31.56  9.94    950     
1-6     1.2424  -10.5   1.12    0       991.11  -31.38  9.91    960     
1-7     1.2538  -10.54  1.13    0       1000.3  -31.19  9.89    970     
1-8     1.2651  -10.57  1.15    0       1009.6  -31.01  9.86    980     
1-9     1.2765  -10.61  1.16    0       1018.8  -30.82  9.83    990     
1-10    1.2879  -10.64  1.17    0       1028    -30.63  9.81    1000    
1-11    1.2992  -10.68  1.18    0       1037.2  -30.44  9.79    1010    
1-12    1.3106  -10.71  1.19    0       1046.4  -30.25  9.77    1020    
1-13    1.322   -10.75  1.2     0       1055.6  -30.06  9.75    1030    
1-14    1.3333  -10.78  1.22    0       1064.8  -29.86  9.73    1040    
1-15    1.3447  -10.82  1.22    -1.e-2  1073.9  -29.67  9.71    1050    
1-16    1.3561  -10.85  1.23    0       1083.1  -29.47  9.69    1060    
1-17    1.3674  -10.88  1.25    0       1092.3  -29.27  9.67    1070    
1-18    1.3788  -10.92  1.25    -1.e-2  1101.4  -29.07  9.66    1080    
1-19    1.3902  -10.95  1.27    -1.e-2  1110.6  -28.87  9.64    1090    
1-20    1.4015  -10.98  1.28    -1.e-2  1119.7  -28.67  9.63    1100    
1-21    1.4129  -11.01  1.29    -1.e-2  1128.8  -28.46  9.61    1110    
1-22    1.4242  -11.04  1.3     0       1138    -28.26  9.6     1120    
1-23    1.4355  -11.07  1.32    0       1147.1  -28.05  9.59    1130    
1-24    1.4468  -11.11  1.32    -1.e-2  1156.2  -27.84  9.58    1140    
1-25    1.4582  -11.14  1.33    -1.e-2  1165.3  -27.63  9.57    1150    
1-26    1.4695  -11.17  1.34    -1.e-2  1174.4  -27.42  9.56    1160    
1-27    1.4808  -11.2   1.35    -0.02   1183.5  -27.21  9.55    1170    
1-28    1.4921  -11.23  1.36    -0.02   1192.6  -27     9.54    1180    
1-29    1.5034  -11.26  1.37    -0.02   1201.6  -26.78  9.53    1190    
1-30    1.5147  -11.29  1.38    -0.02   1210.7  -26.56  9.52    1200    
