
Run     SWR     Gain    F/B     F/R     R-a     X-a     Eff.    A       

1-0     1.7655  0.58    0       -0.03   40.983  -24.47  97.94   5.e-3   
1-1     2.7523  0.37    0       -0.02   42.856  -48.37  98.05   0.1049  
1-2     2.9407  0.37    0       -0.02   42.658  -51.75  98.05   0.2048  
1-3     3.1239  0.38    0       -0.02   42.271  -54.7   98.04   0.3047  
1-4     3.2798  0.4     0       -0.02   41.888  -57.04  98.02   0.4046  
1-5     3.4155  0.42    0       -0.01   41.523  -58.95  98.01   0.5045  
1-6     3.5369  0.44    0       -0.01   41.174  -60.57  97.99   0.6044  
1-7     3.6481  0.45    0       -0.01   40.84   -61.98  97.98   0.7043  
1-8     3.7516  0.47    0       0       40.519  -63.24  97.97   0.8042  
1-9     3.8491  0.49    0       0       40.208  -64.37  97.95   0.9041  
1-10    3.9419  0.5     0       0       39.908  -65.42  97.94   1.004   
1-11    4.0307  0.52    0       0       39.617  -66.38  97.93   1.1039  
1-12    4.1163  0.53    0       0       39.335  -67.28  97.91   1.2038  
1-13    4.1992  0.54    0       0       39.06   -68.12  97.9    1.3037  
1-14    4.2797  0.56    0       0       38.793  -68.92  97.89   1.4036  
1-15    4.3581  0.57    0       0       38.533  -69.67  97.87   1.5035  
1-16    4.4348  0.58    0       0       38.279  -70.39  97.86   1.6034  
1-17    4.5098  0.59    0       0       38.032  -71.07  97.85   1.7033  
1-18    4.5834  0.61    0       0       37.791  -71.73  97.84   1.8032  
1-19    4.6556  0.62    0       0       37.555  -72.35  97.82   1.9031  
1-20    4.7267  0.63    0       0       37.324  -72.96  97.81   2.003   
1-21    4.7967  0.64    0       0       37.098  -73.54  97.8    2.1029  
1-22    4.8657  0.65    0       0       36.877  -74.1   97.79   2.2028  
1-23    4.9337  0.66    0       0       36.659  -74.64  97.78   2.3027  
1-24    5.001   0.67    0       0       36.444  -75.16  97.76   2.4026  
1-25    5.0674  0.68    0       0       36.231  -75.66  97.75   2.5025  
1-26    5.1331  0.69    0       0       36.022  -76.15  97.74   2.6024  
1-27    5.1981  0.7     0       0       35.816  -76.62  97.73   2.7023  
1-28    5.2624  0.71    0       0       35.613  -77.08  97.72   2.8022  
1-29    5.326   0.71    0       0       35.413  -77.52  97.7    2.9021  
1-30    5.389   0.72    0       0       35.216  -77.95  97.69   3.002   
1-31    5.4514  0.73    0       0       35.022  -78.36  97.68   3.1019  
1-32    5.5132  0.74    0       0       34.83   -78.77  97.67   3.2018  
1-33    5.5745  0.75    0       0       34.64   -79.16  97.66   3.3017  
1-34    5.6352  0.76    0       0       34.454  -79.54  97.65   3.4016  
1-35    5.6954  0.76    0       0       34.269  -79.91  97.63   3.5015  
1-36    5.7551  0.77    0       0       34.087  -80.27  97.62   3.6014  
1-37    5.8143  0.78    0       0       33.906  -80.62  97.61   3.7013  
1-38    5.873   0.79    0       0       33.728  -80.96  97.6    3.8012  
1-39    5.9313  0.79    0       0       33.552  -81.29  97.59   3.9011  
1-40    5.9892  0.8     0       0       33.378  -81.61  97.58   4.001   
1-41    6.0466  0.81    0       0       33.206  -81.92  97.56   4.1009  
1-42    6.1036  0.81    0       0       33.036  -82.23  97.55   4.2008  
1-43    6.1603  0.82    0       0       32.868  -82.52  97.54   4.3007  
1-44    6.2165  0.83    0       0       32.701  -82.81  97.53   4.4006  
1-45    6.2723  0.83    0       0       32.536  -83.09  97.52   4.5005  
1-46    6.3278  0.84    0       0       32.373  -83.37  97.5    4.6004  
1-47    6.3829  0.84    0       0       32.211  -83.63  97.49   4.7003  
1-48    6.4377  0.85    0       0       32.051  -83.89  97.48   4.8002  
1-49    6.4921  0.86    0       0       31.892  -84.15  97.47   4.9001  
1-50    6.5461  0.86    0       0       31.736  -84.39  97.46   5       
